danswer
PassTheCert
KnownDllUnhook
DWinProgramming
noPac
hackrf
linWinPwn
shuffledns
scavenger
AmsiBypassHookManagedAPI
RecoverPy
octosql
Crassus
YouPlot
ShellWasp
writefreely
SQLRecon
CVE-2023-21752
PE-Loader-exercise
ToolJet
secret_handshake
JAR-Polyglot-POC
aws-vault
titan
phishim
mx-takeover
socketify.py
pjrpc
stripe-xstate
cdncheck
Locksmith
PowerMeUp
username-anarchy
PythonMemoryModule
vxsig
PSRansom
starfyre
RedTeam-Tools
RustHound
powershell
passport-gitea
SCOMDecrypt
winutil
WTSRM2
ASRenum-BOF
microfeed
pyarmor
Xtreme-Firmware
Flipper-Zero-BadUSB
PassTheChallenge
Quser-BOF
Cloudmare
binary-size
checkedc
portable-secret
digi-cloak
osv-scanner
Doge-Gabh
plz-cli
feroxbuster
gitea-extract-users
Blindside
msi-shenanigans
hysteria
infisical
Dirty-Vanity
riffusion-app
Dragnmove
CVE-2022-45771-Pwndoc-LFI-to-RCE
obfuscator-llvm
jakt
Lsass-Shtinkering
codon
Shoggoth
search
DAILA
random_c2_profile
exploitation-course
xyrella
fiber-stager
constantine
SharpExchange
SilentMoonwalk
chatgpt-telegram
smsgate
Defender_Exclusions-BOF
hwbp4mw
Gepetto
ShellcodeTemplate
PPLcontrol
wasmer
PrintNotifyPotato
misc
WindowSpy
libreflect
strelka
psmsi
st2
HookingNirvana
d2
exa
osmedeus
Unwinder
pocsuite3
SQLRecon
ProxyNotShell-PoC
orpheus
Presentations
sapling
python-pam
DynamicSyscalls
shira
wa-tunnel
ScrapPY
dagger
shennina
Volumiser
katana
KeeFarceReborn
pocketbase
soul
toot
MoreImpacketExamples
PVEDiscordDark
AsmToDelegate
CheekyBlinder
kloak
DragonCastle
impersonate
BOF-RunPE
wnfexec
nsq
nats-server
nats.py
proxmoxer
pyzmq
localstack
functions
fission
openwhisk
pyxtermjs
APTRS
piku
tuilwindcss
psudohash
TerraLdr
pywren
cc-lambda
gg
firecracker-containerd
kata-containers
footloose
k3s-ansible
AdvSim.Compression
Spartacus
Kernel-Cactus
CVE-2020-3433
flipperzero-firmware
jwt_tool
medusa
xdg-credentials-portal
dokku
heroku-free-alternatives
PsPython
pyinfra
ward
Bitmancer
WAMBam
wiresocks
XorStringsNET
RedEye
mutagen
Nimbo-C2
ShadowSpray
NimShellcodeFluctuation
sliver-gui
vba2clr
RITM
pyWhat
maigret
dank
libdank
ntlm_theft
Havoc
sippts
workerd
Freeze
monomorph
spycast
pywhisker
WebclientServiceScanner
SleepKiller
PipeScript
runasti
PPLRunner
PPLKiller
PPL_Bypass
captcha-killer
rocketry
dub
whisper
Burp2Malleable
NetScalerEPABypass
Microsoft-eventlog-mindmap
visx
PIVert-Relay
carbon
SysmonEnte
TangledWinExec
ldapnomnom
tuql
webhook.site
rage
openssh-portable
objc_rust
secretive
pam_ssh_agent_auth
nerdlist
Teamsniper
gitui
requests-ip-rotator
orb
MANSPIDER
cayley
frp
Codecepticon
0xsp.com
c_syscalls
Dumpy
cloudfox
scrying
chameleon
phnt
natlas
QRgen
ContainerSSH
MHDDoS
mitra
go-openai
tweepy
Microsoft-Teams-GIFShell
taichi
ignite
Modules
cobaltstrike-headless
canarytokens-docker
gtunnel
autobloody
DEFCON-30---Exotic-Data-Exfiltration
BLESuite
CheeseOunce
PXEThief
statesman
python-libpcap
libtins
Divert
py2bpf
bpftrace
ESP32Marauder
DLLSpy
AdvSim.Cryptography
awesome-ligma
EAP_buster
air-hammer
flipperzero-firmware-wPlugins
Packet-Sniffer
mdns_recon
robotframework
runzero-tools
InvokeAI
EvilnoVNC
signal-cli
curl-impersonate
rich
C-To-Shellcode-Examples
Pyramid
BOF2shellcode
mypy
cyto
pydantic-cli
traitlets
decode-spam-headers
Nebula
FlavorTown
shadow-workers
SnaffPoint
AntiDebugging
python-benedict
cement
Origami
concealed_code_execution
PersistenceSniper
MSSQL-Analysis-Coerce
ADFSRelay
reinschauer
virus_checker
lua
awesome-cosmo
SystemExplorer
srdi-rs
DLL-Hollow-PoC
jscythe
xxh
zoxide
CopyQ
glow
upscayl
mdBook
SharpWSUS
faraday-cli
FISSURE
ExchangeFinder
bpytop
dapr
DirtyCred
nim-drchaos
Elevator
jsoncrack.com
awesome-game-security
DynamicWrapperEx
whids
Ghidrathon
PIVert
rpcfirewall
MSSQL-Attacker
terry-the-terraformer
Etwti-UnhookPOC
crestron
RPCMon
hatch
RPC-Backdoor
skaffold
modin
Masky
sshuttle
Sandman
uro
DotNetTracer
AceLdr
erg
bbot
writehat
cloudpickle
ascii-image-converter
hydra
TeamFiltration
HijackLibs
STrace
krunvm
mitogen
zerorpc-python
q
docker-stacks
obsidian-releases
CustomXMLPart
politicosint
PIA
cia
LipNet
TamperingSyscalls
BARK
mcaptcha_bypass
bulbs
scan4all
obsidian-extract-url
openFEC
NimicStack
pyemailprotectionslib
sqlite-zstd
RedGuard
natslipstream
BofRoast
CrossLinked
DeathSleep
AssemblyCompressor
HidingFromETW
serverless-dns
gum
crystal
bofhound
metadata-tools
ProtectMyTooling
Lastenzug
prometheus-async
mdx
carbon-lang
build-your-own-x
NiCOFF
rust_bof
peerflix
Steganography-PNG
pretender
CoffeeLdr
python-winsdk
pywinrt
win32
JavaScriptEngineSwitcher
hyperfine
hono-minimal
CobaltStrike
iscsicpl_bypassUAC
nitch
unleashed-firmware
awesome-flipperzero
Chisel-Strike
sccmwtf
AllAboutBugBounty
the-poor-mans-obfuscator
WTSRM
RDPHijack-BOF
pipedream
NimWinAPICustom
windows-coerced-authentication-methods
Coercer
Koh
injector
OffensiveZig
obfuscator
semgrep
AMSI-Unchained
tpot
DDexec
bun
Ciphey
TripleCross
pamspy
mjml
Amsi-Bypass-Powershell
RedTeam-OffensiveSecurity
discoart
virgil
polyfile
docker-volume-backup
durable-objects-rollup-esm
CallStackSpoofer
dotnet-gargoyle
gitsign
oauth4webapi
some-assembly-required
oidc-client-ts
BOF-RegSave
js-client-oauth2
ExtractedDefender
WDExtract
callback_injection-Csharp
WEF
sops
postgrest-js
postgrest
toucan-js
SonarSearch
tlsx
send
playwright-python
Awesome-RCE-techniques
Mangle
puppeteer-cluster
Brute-Ratel-C4-Community-Kit
viddy
nightmare
browserless
playwright
puppeteer-extra
js-beautify
trpc
apiker
DFSCoerce
NlsCodeInjectionThroughRegistry
track-it_decrypt
AlternativeShellcodeExec
colima
nimwave
octopwnweb
Ekko
jarm_randomizer
pyjarm
ja3
tauri
wails
dns.toys
VX-API
fn
Nidhogg
python-worker-hello-world
hono
learn-anything.xyz
my-mac
knowledge
hanko
binwalk
docker-wireguard
docker-unifi-controller
gclient
xyflow
orchest
obsidian-minimal
erl-matter
AntimalwareBlight
S-500-G2-Rat-Hvnc-Hidden-Broswers-Hidden-Apps-OperaGX-Rat-Remote-Malware
n8n
graphjin
sslh
KaynStrike
follina.py
Shelltropy
freeBokuLoader
Windows-RPC-Backdoor
CobaltStrike_BOF_Collections
ForceAdmin
AppProxyC2
ManagedInjector
RecycledGate
DeepSleep
SharpEventPersist
FreeTakServer
OsmAnd
aprsdroid
pyCobaltHound
XLL_Phishing
PerunsFart
User-Behavior-Mapping-Tool
pipe-intercept
MemProcFS
ELFLoader
futhark
mitmproxy2swagger
bloodyAD
lxss
Self_Deletion_BOF
nuglifier
markdoc
malicious-pdf
pam
pomerium
oauth2-proxy
pam-python
pam-tutorials
wsgidav
CVE-2022-1388
knockknock
geeMailUserFinder
fwknop
fuzz.txt
MalSCCM
yggdrasil-go
PKINITtools
authentik
archiver-MOTW-support-comparison
grc2
autocomplete
hasura-auth
coldbrew
smbeagle
rich-cli
pyscript
msprobe
broot
xonsh-docker-tabcomplete
hakip2host
uncover
CS-Remote-OPs-BOF
sems
imvirt
Dylib_Runner
KrbRelayUp
fq
jurigged
reloadium
dramatiq
CVE-2022-29464
graphql-redis-subscriptions
MalMemDetect
angr
C2-Tool-Collection
HookDetector
Findomain
WhatsApp-Clone-Tutorial
gorsh
rq
graphql-mesh
fuzzdb
RefleXXion
rtclite
sonic
defender-control
CReadMemory
graphql
dockerpty
popper
cli
stunner
frostbyte
spyql
qiling
aardwolfgui
aardwolf
mubeng
SwiftInMemoryLoading
code-server
codespace
gitpod
smartbrute
dref
golden-layout
Get-PDInvokeImports
Cloak
Docker-Compose-Prometheus-and-Grafana
inflate.py
TaskScheduler
com_inject
commandline_cloaking
portainer
authelia
launchpad
uptime-kuma
Heimdall
keepalived
WSuspicious
boopkit
Smap
revsh
nim-loader
tailscalesd
gobetween
pynacl
bcc
SimpleBITSServer
envkey
DelegationBOF
ipmagnet
OffensivePascal
daedalOS
EVTX-ETW-Resources
wireproxy
DLLirant
proxmark3
garble
captcha-killer-modified
CandyPotato
BokuLoader
pe-sieve
ScheduleRunner
CVE-2022-0337-PoC-Google-Chrome-Microsoft-Edge-Opera
SysWhispers3
d3-force
GetMail
awesome-tuis
bflat
Substr3am
visidata
BITB
CustomKeyboardLayoutPersistence
pgq
RunOF
O365-Doppelganger
gsocket
nocodb
GoldenGMSA
obsidian-jupyter
obsidiantools
OffensiveNotion
netmaker
awesome-oss-alternatives
ipc-research
pymeta
ADFSDump
LdapSignCheck
innernet
SharpLdapRelayScan
link
TeamsImplant
ddosify
PowerSharpPack
ODIN
stratus-red-team
Nimcrypt2
ArbitraryDirectoryDeletion
NimShellCodeLoader
COMRunner
nt5src
unredacter
RedTeaming-Tactics-and-Techniques
KrbRelay
SnD_AMSI
sh
HellsGateNim
Nim-HalosGate-Injector
jless
edgedb
ligolo-ng
Shhhloader
offensive-vlang
pharos
GHOSTS
CobaltBus
ObjectOverloadingPOC
SpoolFool
PackMyPayload
swaks
blog-nojs-fingerprint-demo
boofuzz
DevToys
turdshovel
briefcase
toga
Penetration-Testing-Tools
KillDefenderBOF
GetSystem
KillDefender
TokenStomp
SandboxDefender
Advanced-Process-Injection-Workshop
jo
Nim-RunPE
zig-lua-wrapper
headscale
EvilSelenium
manual-syscall-detect
ODIN
browsix
Apollo
CredMaster
DonPAPI
rhai
NimGetSyscallStub
PwnKit
NimPackt-v1
Polkit-CVE-2021-3560
the-crown-defcon615
CVE-2022-0185
AMSITrigger
FunctionStomping
kind
process_ghosting
k3d
k3s
trow
Go365
cloud-init
soft-serve
AmsiHooker
cryptosteganography
Steganography
outguess
openstego
steghide
Stegano
tweetable-polyglot-png
homelab
goDLL
beacon-fronting
wasmCloud
python-fire
TREVORspray
TREVORproxy
SharpGhosting
lobster-pot
LdapRelayScan
SeeYouCM-Thief
tamago
GoKey
neo4j-python-driver
EDRSandblast
weave
oscrypto
awesome-executable-packing
tracy
secinject
win32jsongen
win32json
zigwin32gen
zigwin32
CVE-2022-21907
PyFlow
StopDefender
fx
HVNC
python_communism
awesome-wasm-runtimes
uno
jsbind
nim-wasm-helpers
WasmerSharp
ote
ParallelSyscalls
ParallelNimcalls
OffensivePipeline
ShadowCoerce
vscode-devcontainer-python-cookiecutter
Ivy
SysmonSimulator
ParallelSyscalls
MirrorDump
domains
PowerRemoteDesktop
BookStack
awesome-piracy
Adalanche
Max
inject-assembly
nimcrypt
CaddyStager
img
binctr
core
changedetection.io
NimlineWhispers2
sqlmodel
nox
icecream
golang-massl
log4j-honeypot-flask
barrier
CVE-2021-40444
strawberry
schema
python-diskcache
doit
KingHamlet
L4sh
mortar
log4j-jndi-be-gone
python-log4rce
log4j-scan
JNDI-Exploit-Kit
MalSeclogon
pdm
Invoke-Bof
ransomwatch
SharpWnfSuite
AdHoc
Excel-Virtual-Machine
FOLIAGE
GoMapEnum
cobalt-arsenal
EfsPotato
RunPE
MultiPotato
iced
OffensiveAutoIt
ForkPlayground
charlotte
chainsaw
ADHuntTool
AppDomainAlternative
InlineWhispers2
nanodump
lsarelayx
docker-qemu
qemu-docker
docker-qemu-win2000
transitions
python-proxy
janus
NeoAlchemy
neomodel
redash
peewee
Phishious
Windows10EtwEvents
SharpSelfDelete
inceptor
attrs
structlog
ShareX
ZipExec
OffensiveVBA
Shellcode-Injection-Techniques
LDAPmonitor
weave
Certipy
quickemu
HandleKatz
OffensiveRust
ShellcodeFluctuation
ThreadStackSpoofer
aad-sso-enum-brute-spray
Detect-Hooks
ssh-key-confirmer
encembed
unDefender
ipfilter
elk-tls-docker
sealed-secrets
loki
caddy-docker-proxy
PrintNightmare
promitheus_monitoring
CVE-2021-40444
azureOutlookC2
RestrictedAdmin
WinObjEx64
CS-Situational-Awareness-BOF
CVE-2021-26084_Confluence
writeups
caddy
pi-hole-cloudflared-docker-compose-ansible-caddy
cloudflared
Made-With-ML
LiquidSnake
ETWProcessMon2
SourcePoint
1PasswordSuite
certi
WALKOFF
byeintegrity8-uac
proxyshell-poc
PythonForWindows
SharpEDRChecker
argo-workflows
IpcServiceFramework
net.tcp-proxy
concealed_position
pyForgeCert
DeployPrinterNightmare
moneta
ADCSPwn
UCantSeeM3
hallucinate
MicrosoftWontFixList
BadAssMacros
Ventoy
NimRDI
Detours
minhook
Backstab
Winstrument
WFH
CheeseTools
cartography
steampipe
InlineExecute-Assembly
TokenTactics
InlineExecute-Assembly
PortBender
Avalonia
Electron.NET
one
CVE-2021-1675
Injector
jQuery-SlotMachine
netbird
Blackbone
pivotnacci
AttackSurfaceAnalyzer
Whisker
modern-unix
puppy
DarkLoadLibrary
EPPlus
SharpUnhooker
ForgeCert
Certify
Conf-Thief
pyee
memlib
textual
Conari
InvisibilityCloak
COMInterop
HelpColor
DomainBorrowingC2
forkatz
Redfish
SimuLand
yubikey-agent
age
OffensivePH
What-The-F
syncasync
SharpShares
CVE-2021-31166
RedWarden
Dent
pycobalt
starship
dnMerge
SnoopyOwl
ebpf-for-windows
DomainBorrowing
WinAltSyscallHandler
jenkins-attack-framework
SharpTransactedLoad
asyncssh
dart_rs
SharpNamedPipePTH
redsails
DripLoader
TransactedSharpMiniDump
CredBandit
TamperETW
RemotePotato0
SharpNoPSExec
SSHPry2.0
CertStealer
adfsbrute
obsidian-timelines
obsidian-dataview
RosFuscator
CobaltStrikeScan
EvasiveProcessHollowing
Orcus-1.9.1-src
Persistent-Swift
UuidShellcodeExec
pyMalleableC2
Folders
ShellcodeCompiler
pihole-antitelemetry
cliProxy
procs
PyMailSniper
kiterunner
CyberBattleSim
experiments
LDAPPER
peas
exchangelib
MFASweep
kubesploit
TiEtwAgent
universal-syscall-64
DccwBypassUAC
Limelighter
firecracker
dns
SharpWebServer
icon
nitter
MirrorDump
MinHook.NET
Telemetry
NativePayload_CBT
CredBandit
ProxyLogon
nimporter
CsWin32
win32metadata
wasm3
HellsGatePoC
cosmonim
receptor
ansible-runner
wcc
msdat
chameleon
bdvl
spotify-tui
automation-api-examples
Dependencies
dnsproxy
examples
ansible-docker-swarm
ytfzf
Wubes
tailscale
noise
nebula
SIGRed_RCE_PoC
SMBGhost_RCE_PoC
CLRvoyance
WireTap
InterProcessCommunication-Samples
cosmopolitan
ghostunnel
obfuscator
Alaris
AzureWireGuard
bearparser
amber
berty
LIEF
x0rro
pefile
PeFixup
DoppelGate
evilarc
LsassSilentProcessExit
davil
elastdocker
MaliciousClickOnceMSBuild
tini
Farmer
COFFLoader
trigen
CIMplant
AzureC2Relay
Dendrobate
ziglings
sakeInject
Perfusion
cppgo
redi
rbcd-attack
confused
Weaponry
SharpRelay
supercookie
Cliptomania
NimTeleBackdoor
NimGHInjector
masm_shc
rust-windows-shellcode
Atomic-Red-Team-Intelligence-C2
SharpSMBSpray
rickastley
tinygo
min-sized-rust
Odin
zig
macdriver
black-hat-rust
ScareCrow
cxx
RedTeamCCode
readmem
CVE-Exploits
CobaltStrikeParser
NimExamples
BOFs
node-red
VisualDoor
delete-self-poc
windows-rs
SharpSphere
pyparsing
denim
SharpClipHistory
muraena
sampler
wtf
dashing
wopr
drawille
DearPyGui
pywebview
nim-electron-karax
nim-electron
NimlineWhispers
CSharpWinRM
nimwsnetproxy
ChromeTools
Process-Hollowing
MacHack
nimSocks
chisel
Carnivore
shimit
SharpHandler
pyodide-wsnetwork
SysWhispers2
deauther
uroboros
MCGC
PEzor
wspe
dnlib
pywintrace
cs2nim
InlineWhispers
WdToggle
Sparrow
simple-graph
Shhmon
nim-quic
ExecuteAssembly
wAuto
winim
siofra
WhiteChocolateMacademiaNut
BloodHound-Tools
ProcessHollowing
system-bus-radio
acme.sh
solarflare
pretext-project.github.io
BADministration
shellcodeloader
sunburst_countermeasures
WADComs.github.io
ImHex
presentations
red_team_tool_countermeasures
phantom-dll-hollower-poc
cornershot
SHAPESHIFTER
vlan-hopping---frogger
ms-teams-rce
Depix
SharpMapExec
wsb-detect
prologue
nimcrypto
awesome-nim
nim-json-rpc
NoAmci
subhook.nim
zip
nimassets
nim-strenc
grab_beacon_config
NimScan
Nim-SMBExec
zippy
asyncdocker
ws
nim-libp2p
Eel
jester
karax
Neel
Nimplant
OfficePurge
EternalBlueC
smap
RendezvousRAT
pyre-check
gping
pytmipe
Fusion
openedr
netelf
StandIn
gron
red
DynaCLR.JS
BOF.NET
slipstream
go-shellcode
DInvoke
herpaderping
NetblockTool
RegistryStrikesBack
CloneVault
SignalRDemo
VXUG-Papers
bounty-targets-data
rpc2socks
3d-force-graph
diagrams
cgo-by-example-windows
hachiko
Fork-n-Run
AMSI.fail
wireguard-vyatta-ubnt
sshiva
Malcolm
LogServiceCrash
bzar
GoPurple
SharpCollection
Priv2Admin
malleable-c2
CVE-2020-1472
WinDivertSharp
StreamDivert
chlonium
xlang
crimson-forge
croc
EvtMute
Gooey
DefendTheFlag
SharpSecDump
BananaPhone
Manager
webview
webview_csharp
Chromely
WebWindow
present
rshijack
Evil_DLL
BetterSafetyKatz
sdk
ProcMonXv2
docker-postgresql-postgraphile
frida-clr
nlvm
Open.NAT
ACLight
SharpBlock
nushell
nameko
dropengine
SharpKatz
IBM-RedCON-2020
Awesome-CobaltStrike
firewalker
PrivescCheck
PythonKit
PersistentJXA
SMBLibrary
embeddedNimScript
nimpy
DotNetDebug
Zolom
mkhtaccess_red
Noctilucent
spotter
espoofer
AsyncNamedPipes
overlord
robula-plus
ecs-plugin
TelemetrySourcerer
crossbuild
multipass
gql
backoff
gitkube
nuclei
Winshark
BOF_Collection
Carbuncle
firmadyne
capa
urlgrab
unfurl
container-transform
arsenic
python-manhole
tsunami-security-scanner
RedELK
PSBits
bottlerocket
PrintSpoofer
SharpRDPHijack
nccfsas
Snaffler
smb
bof_helper
detection-rules
DLLHijackTest
tinder-detective
DoubleTap
Go4aRun
cloud-ranges
utterances
physmem2profit
syscalltest
benigncertain-monitor
avcleaner
starlark-go
yamux
grpc-firewall-bypass
CVE-2020-0787-EXP-ALL-WINDOWS-VERSION
Talon
EXCELntDonut
GhostLoader
awesome-shodan-queries
macOSTools
SearchOutlook
kitematic
huginn
Crawling-Infrastructure
spoolsystem
tangalanga
pyserial-asyncio
rapidsms
python-gsmmodem
smspdudecoder
smspdu
flameshot
ip-rotate
backdoorfactory
shad0w
colabcat
CallStranger
kerbrute
SwiftBelt
metta
o365enum
termynal
fzf
httpx-ntlm
ntlm-auth
python-devtools
.tmux
pipx
pydantic
typesystem
databases
httpx
fastapi
typer
crawlee
headless-chrome-crawler
scrapy-splash
js2xml
scrapoxy
go-ntlmssp
sgn
stegcloak
PhishAPI
shotlooter
Macrome
winget-cli
winget-pkgs
dash-network
Invoke-PrintDemon
AES-PowerShellCode
WSMan-WinRM
marktext
popoto
Stormspotter
edc
PlumHound
machine-learning-project-walkthrough
Data-Analysis
RoguePotato
cs2modrewrite
RsaTokenExtractor
VECTR
sitrep
faxhell
aioredis-py
CursedChrome
SharpFiles
CloudHunter
Rubeus-Rundll32
python-build-standalone
starlark
winsspi
ShadowsocksX-NG
v2ray-core
mtprotoproxy
mtg
Telethon
teamgram-server
MTProxy
SocksOverRDP
RogueMMC
Bloodhound-Cypher
Bloodhound-Custom-Queries
gau
RDPassSpray
